 id  |   genome   |      v1 - v2      | fragment1 - fragment2 |    repeat1 - repeat2    |  cc_id  | s_edge | repeat_guidance | MC 
235  |    dog     |  14639h - 2626h   |     -35_6 - -35_4     |   L1_Cf(h) - L1_Canis1(h) |  11080  |  True  | L1_Cfhou, L1_Cftoi, L1_Canis1tou, L1_Canis1hoi | dog 
236  |    dog     |  15049t - 19419h  |     -7_75 - -7_74     | L1_Canis1(h) - L1_Canis1(t) |  11138  |  True  | L1_Canis1hou, L1_Canis1toi | dog 
237  |    dog     |   1311h - 36170t  |     -7_89 - -7_88     | L1_Canis1(h) - L1_Canis1(t) |  11140  |  True  | L1_Canis1hou, L1_Canis1toi | dog 
238  |    dog     |  19475t - 12103t  |   -11_115 - -22_5     |   L1_Cf(h) - L1_Cf(h)   |  11178  |  True  | L1_Cfhou, L1_Cftoi, L1_Cftou, L1_Cfhoi | dog 
239  |    dog     |    509h - 18355t  |     14_79 - 14_80     |   L1_Cf(h) - L1_Cf(t)   |  11189  |  True  | L1_Cfhou, L1_Cftoi | dog 
240  |    dog     |   4532h - 19750h  |     -5_68 - 5_66      |   L1_Cf(h) - L1_Canis1(t) |  11289  |  True  | L1_Cfhou, L1_Cftoi, L1_Canis1hou, L1_Canis1toi | dog 
241  |    dog     |   5961h - 12741h  |     -7_31 - -7_28     | L1_Canis1(t) - L1_Cf(t)   |  11448  |  True  | L1_Canis1tou, L1_Canis1hoi, L1_Cfhou, L1_Cftoi | dog 
242  |    dog     |   1052t - 14523t  |    -22_84 - -10_37    |   L1_Cf(t) - L1_Cf(h)   |  11461  | False  | L1_Cftou, L1_Cfhoi | dog 
243  |    dog     |  25902h - 34867t  |     12_60 - 12_65     | L1_Canis1(t) - L1_Canis1(h) |  11572  |  True  | L1_Canis1tou, L1_Canis1hoi | dog 
244  |    dog     |  10082t - 18487h  |     15_42 - 15_43     |   L1_Cf(h) - L1_Cf(t)   |  11700  |  True  | L1_Cfhou, L1_Cftoi | dog 
245  |    dog     |  14374t - 6320h   |      4_52 - 4_55      | L1_Canis1(t) - L1_Cf(h)   |  11729  |  True  | L1_Canis1tou, L1_Canis1hoi, L1_Cftou, L1_Cfhoi | dog 
246  |    dog     |  10546t - 33556t  |     18_67 - 18_68     | L1_Canis1(t) - L1_Canis1(h) |  11800  |  True  | L1_Canis1tou, L1_Canis1hoi | dog 
247  |    dog     |   3532t - 24859h  |    -22_44 - -22_43    |   L1_Cf(t) - L1_Cf(h)   |  12203  |  True  | L1_Cftou, L1_Cfhoi | dog 
248  |    dog     |   8394h - 17642t  |     15_44 - 15_48     |   L1_Cf(t) - L1_Cf(t)   |  12340  | False  | L1_Cftou, L1_Cfhoi, L1_Cfhou, L1_Cftoi | dog 
